Nazwisko,Kraj,Złote Medale,Srebrne Medale,Brązowe Medale
Leisel Jones,Australia,3,4,1
Vilhelm Carlberg,Sweden,3,4,0
Alfred Gomer Swahn,Sweden,3,3,3
Eizo Kenmotsu,Japan,3,3,3
Grant Hackett,Australia,3,3,1
Veikko Hakulinen,Finland,3,3,1
Kati Wilhelm,Germany,3,3,0
Andrea Pollack,East Germany,3,3,0
Eero Antero Mäntyranta,Finland,3,2,2
Irena Szewinska,Poland,3,2,2
Pieter van den Hoogenband,Netherlands,3,2,2
Ralph Rose,United States,3,2,1
Renate Stecher,East Germany,3,2,1
Ning Li,China,3,2,1
Knut Holmann,Norway,3,2,1
Michael Gross,West Germany,3,2,1
Vegard Ulvang,Norway,3,2,1
Vladimir Nazlymov,Soviet Union,3,2,1
Julia Tchepalova,Russia,3,2,1
George Eyser,United States,3,2,1
Harald Natvig,Norway,3,2,1
Hermann Weingärtner,Germany,3,2,1
Daniela Silivas,Romania,3,2,1
Agneta Andersson,Sweden,3,2,1
Alberto Tomba,Italy,3,2,0
András Balczó,Hungary,3,2,0
Duke Paoa Kahanamoku,United States,3,2,0
Florence Griffith-Joyner,United States,3,2,0
Georg Hackl,Germany,3,2,0
Jack Beresford jr.,Great Britain,3,2,0
Wei Yang,China,3,2,0
Samppa Lajunen,Finland,3,2,0
Klaus Dibiasi,Italy,3,2,0
Pablo Morales,United States,3,2,0
Ralf Schumann,Germany,3,2,0
Simona Amanar,Romania,3,1,3
Shirley Strickland,Australia,3,1,3
Giovanna Trillini,Italy,3,1,3
Jackie Joyner-Kersee,United States,3,1,2
Johan Gröttumsbräten,Norway,3,1,2
Alfred Schwarzmann,Germany,3,1,2
Bradley Wiggins,Great Britain,3,1,2
Ryan Lochte,United States,3,1,2
Oscar Gomer Swahn,Sweden,3,1,2
Konrad Frey,Germany,3,1,2
Leon Stukelj,Yugoslavia,3,1,2
Libby Trickett,Australia,3,1,2
Larissa Lazutina,Russia,3,1,1
Mary Meagher,United States,3,1,1
Malvin Whitfield,United States,3,1,1
Shane Gould,Australia,3,1,1
Veikko Huhtanen,Finland,3,1,1
Veronica Campbell-Brown,Jamaica,3,1,1
Svetlana Boginskaya,Soviet Union,3,1,1
Vreni Schneider,Switzerland,3,1,1
Xiong Ni,China,3,1,1
Antonio Rossi,Italy,3,1,1
Andreas Dittmer,Germany,3,1,1
Anfissa Restzova,Russia,3,1,1
Daniel Morelon,France,3,1,1
John Hencken,United States,3,1,1
Gian Carlo Cornaggia-Medici,Italy,3,1,1
Galina Gorokhova,Soviet Union,3,1,1
Ian Crocker,United States,3,1,1
Gwen Torrence,United States,3,1,1
Harry Hillman,United States,3,1,0
Ingrid Engel-Krämer,Germany,3,1,0
Florian Rousseau,France,3,1,0
Franco Riccardi,Italy,3,1,0
Gillis Grafström,Sweden,3,1,0
John Flanagan,United States,3,1,0
Kenenisa Bekele,Ethiopia,3,1,0
Jochen Schümann,Germany,3,1,0
Jens Weissflog,Germany,3,1,0
Jeremy Wariner,United States,3,1,0
Jeff Rousse,United States,3,1,0
James Lightbody,United States,3,1,0
James McLane,United States,3,1,0
Jan Zelezny,Czech Repunlic,3,1,0
Deborah Compagnoni,Italy,3,1,0
Charles Hickcox,United States,3,1,0
Andrew Hoy,Australia,3,1,0
Alfred Flatow,Germany,3,1,0
Aldo Nadi,Italy,3,1,0
Aleksandr Karelin,Russia,3,1,0
Albert Azaryan,Soviet Union,3,1,0
Ard Schenk,Netherlands,3,1,0
Caren Metschuck,East Germany,3,1,0
Ben Ainslie,Great Britain,3,1,0
Wyomia Tyus,United States,3,1,0
Viktor Saneev,Soviet Union,3,1,0
Tamara Press,Soviet Union,3,1,0
Thomas Gustafson,Sweden,3,1,0
